Biomarker,EigenvectorCentrality
Total_C,0.493662802609558
non_HDL_C,0.516467440564996
Remnant_C,0.653210822940548
VLDL_C,0.382886388618754
Clinical_LDL_C,0.575393496958272
LDL_C,0.599069825239055
HDL_C,0.39529871264858
Total_TG,0.440309770639025
VLDL_TG,0.282965392916818
LDL_TG,0.385341725186577
HDL_TG,0.427669923676473
Total_PL,0.448953897057485
VLDL_PL,0.439031055762448
LDL_PL,0.674681180552794
HDL_PL,0.372893860159615
Total_CE,0.515332009164651
VLDL_CE,0.566233794849851
LDL_CE,0.524624512588083
HDL_CE,0.353133598545673
Total_FC,0.593152983215141
VLDL_FC,0.30140272496571
LDL_FC,0.577140674348174
HDL_FC,0.394645543255682
Total_L,0.461944449273681
VLDL_L,0.408046568991551
LDL_L,0.52481160961297
HDL_L,0.407772881826583
Total_P,0.507043973248003
VLDL_P,0.466415444815855
LDL_P,0.56423599228566
HDL_P,0.38969954538532
VLDL_size,0.604134000216211
LDL_size,0.255041265720298
HDL_size,0.575327992019294
Phosphoglyc,0.413762369106632
TG_by_PG,0.544225404756198
Cholines,0.383093848448824
Phosphatidylc,0.423852753702777
Sphingomyelins,0.546978896695189
ApoB,0.661377879903117
ApoA1,0.462063243822406
ApoB_by_ApoA1,0.53382792156449
Total_FA,0.214896704320052
Unsaturation,0.212272123371636
Omega_3,0.0938376648396152
Omega_6,0.143505114250731
PUFA,0.199453694374735
MUFA,0.280314424871291
SFA,0.28171125561462
LA,0.250745631463085
DHA,0.122431187902833
Omega_3_pct,0.0834653821584647
Omega_6_pct,0.132115981114959
PUFA_pct,0.151247498025872
MUFA_pct,0.262372662543146
SFA_pct,0.207489519892573
LA_pct,0.208678188965707
DHA_pct,0.0842824335709622
PUFA_by_MUFA,0.0767933187022594
Omega_6_by_Omega_3,0.0299041064584759
Total_BCAA,0
Ile,0
Leu,0
Val,0
Lactate,4.54699014991816e-17
Pyruvate,7.61514260428326e-17
bOHbutyrate,0
Acetoacetate,0
Acetone,3.40880527411687e-17
GlycA,0.110489042073379
XXL_VLDL_P,0.337089862297087
XXL_VLDL_L,0.397542460250994
XXL_VLDL_PL,0.307580710878907
XXL_VLDL_C,0.168587546949982
XXL_VLDL_CE,0.339409727800139
XXL_VLDL_FC,0.357335244140033
XXL_VLDL_TG,0.511503615496359
XL_VLDL_P,0.255202828449542
XL_VLDL_L,0.35515017179343
XL_VLDL_PL,0.293376846498961
XL_VLDL_C,0.291896627780292
XL_VLDL_CE,0.396902553242929
XL_VLDL_FC,0.29753865511737
XL_VLDL_TG,0.271240750460973
L_VLDL_P,0.335434887256865
L_VLDL_L,0.328092735001386
L_VLDL_PL,0.429175035737105
L_VLDL_C,0.321197074426153
L_VLDL_CE,0.541780018041276
L_VLDL_FC,0.30312789333419
L_VLDL_TG,0.463715465699127
M_VLDL_P,0.482311249950054
M_VLDL_L,0.446770799467076
M_VLDL_PL,0.390771988671319
M_VLDL_C,0.380301727658979
M_VLDL_CE,0.637447178197917
M_VLDL_FC,0.353948101297426
M_VLDL_TG,0.442754211224996
S_VLDL_P,0.411861412440043
S_VLDL_L,0.437031265823467
S_VLDL_PL,0.482327230599161
S_VLDL_C,0.461337947040694
S_VLDL_CE,0.491479256643408
S_VLDL_FC,0.412646386011441
S_VLDL_TG,0.422547075359615
XS_VLDL_P,0.3721480945481
XS_VLDL_L,0.449697774193824
XS_VLDL_PL,0.514351871283738
XS_VLDL_C,0.501557811247639
XS_VLDL_CE,0.81631532826757
XS_VLDL_FC,0.333145494748788
XS_VLDL_TG,0.524191518500234
IDL_P,0.512457744237633
IDL_L,0.578480662917328
IDL_PL,0.788526717022363
IDL_C,0.489201309160105
IDL_CE,0.561436468316121
IDL_FC,0.586978024394801
IDL_TG,0.35009791949358
L_LDL_P,0.473512728615691
L_LDL_L,0.642258792969047
L_LDL_PL,0.826640013135137
L_LDL_C,0.514546781186566
