source,target,value
S_HDL_P,PC32:1(16:0),0.3
S_HDL_C,PC32:1(16:0),0.3
S_HDL_CE,PC32:1(16:0),0.3
Omega_3,PC34:2(16:0),0.3
Glucose,PC34:2(16:0),0.3
Acetoacetate,PC34:2(16:0),0.3
XS_VLDL_L,PC34:2(16:0),0.3
Total_C,PC34:1(16:0),0.3
Remnant_C,PC34:1(16:0),0.3
VLDL_C,PC34:1(16:0),0.3
Total_PL,PC34:1(16:0),0.3
Total_CE,PC34:1(16:0),0.3
VLDL_CE,PC34:1(16:0),0.3
Total_FC,PC34:1(16:0),0.3
Total_L,PC34:1(16:0),0.3
Phosphoglyc,PC34:1(16:0),0.3
Cholines,PC34:1(16:0),0.3
Phosphatidylc,PC34:1(16:0),0.3
Sphingomyelins,PC34:1(16:0),0.3
Total_FA,PC34:1(16:0),0.3
Omega_3,PC34:1(16:0),0.3
Omega_6,PC34:1(16:0),0.3
PUFA,PC34:1(16:0),0.3
SFA,PC34:1(16:0),0.3
LA,PC34:1(16:0),0.3
DHA,PC34:1(16:0),0.3
Glucose,PC34:1(16:0),0.3
Pyruvate,PC34:1(16:0),0.3
Citrate,PC34:1(16:0),0.3
Acetoacetate,PC34:1(16:0),0.3
Albumin,PC34:1(16:0),0.3
S_VLDL_PL,PC34:1(16:0),0.3
XS_VLDL_P,PC34:1(16:0),0.3
XS_VLDL_L,PC34:1(16:0),0.3
XS_VLDL_PL,PC34:1(16:0),0.3
XS_VLDL_C,PC34:1(16:0),0.3
XS_VLDL_CE,PC34:1(16:0),0.3
XS_VLDL_FC,PC34:1(16:0),0.3
IDL_L,PC34:1(16:0),0.3
IDL_PL,PC34:1(16:0),0.3
S_HDL_L,PC34:1(16:0),0.3
S_HDL_PL,PC34:1(16:0),0.3
S_HDL_FC,PC34:1(16:0),0.3
S_HDL_P,PC36:5(20:4),0.3
S_HDL_C,PC36:5(20:4),0.3
Total_C,PC36:4(20:4),0.3
non_HDL_C,PC36:4(20:4),0.3
Remnant_C,PC36:4(20:4),0.3
VLDL_C,PC36:4(20:4),0.3
LDL_C,PC36:4(20:4),0.3
Total_PL,PC36:4(20:4),0.3
LDL_PL,PC36:4(20:4),0.3
Total_CE,PC36:4(20:4),0.3
VLDL_CE,PC36:4(20:4),0.3
LDL_CE,PC36:4(20:4),0.3
Total_FC,PC36:4(20:4),0.3
Total_L,PC36:4(20:4),0.3
LDL_L,PC36:4(20:4),0.3
Total_P,PC36:4(20:4),0.3
VLDL_P,PC36:4(20:4),0.3
LDL_P,PC36:4(20:4),0.3
Phosphoglyc,PC36:4(20:4),0.3
Cholines,PC36:4(20:4),0.3
Phosphatidylc,PC36:4(20:4),0.3
Sphingomyelins,PC36:4(20:4),0.3
ApoB,PC36:4(20:4),0.3
Total_FA,PC36:4(20:4),0.3
Omega_3,PC36:4(20:4),0.3
