Node name,Description,OR (95% CI),P.adjusted,Pearson's r,Units,Group,Type,Simplified.Formula
Total_C,Total Cholesterol,0.72 (0.66-0.78),2.18e-15,0.326179765557043,mmol/L,Cholesterol,Composite,VLDL_C + IDL_C + LDL_C + HDL_C
non_HDL_C,Total Cholesterol Minus HDL-C,0.76 (0.7-0.82),1.34e-11,0.340075621728234,mmol/L,Cholesterol,Composite,Total_C - HDL_C
Remnant_C,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",0.78 (0.72-0.84),2.3e-09,0.337495429646555,mmol/L,Cholesterol,Composite,Total_C - HDL_C - LDL_C
VLDL_C,VLDL Cholesterol,0.88 (0.81-0.95),0.002316038,0.323302295881357,mmol/L,Cholesterol,Composite,XXL_VLDL_C + XL_VLDL_C + L_VLDL_C + M_VLDL_C + S_VLDL_C + XS_VLDL_C
Clinical_LDL_C,Clinical LDL Cholesterol,0.73 (0.68-0.79),1.09e-14,0.344974569419773,mmol/L,Cholesterol,Non-derived,""
LDL_C,LDL Cholesterol,0.74 (0.69-0.8),3.78e-13,0.338428227636854,mmol/L,Cholesterol,Composite,L_LDL_C + M_LDL_C + S_LDL_C
HDL_C,HDL Cholesterol,0.76 (0.69-0.83),2.27e-08,0.306825846616867,mmol/L,Cholesterol,Composite,XL_HDL_C + L_HDL_C + M_HDL_C + S_HDL_C
Total_TG,Total Triglycerides,1.12 (1.03-1.21),0.007095042,0.3042625646619,mmol/L,Triglycerides,Composite,VLDL_TG + IDL_TG + LDL_TG + HDL_TG
VLDL_TG,Triglycerides in VLDL,1.11 (1.03-1.2),0.00970877,0.296141065085428,mmol/L,Triglycerides,Composite,XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG
LDL_TG,Triglycerides in LDL,1.09 (1.01-1.17),0.031407141,0.338069650995993,mmol/L,Triglycerides,Composite,L_LDL_TG + M_LDL_TG + S_LDL_TG
HDL_TG,Triglycerides in HDL,1.14 (1.05-1.22),0.001208502,0.350245191353154,mmol/L,Triglycerides,Composite,XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG
Total_PL,Total Phospholipids in Lipoprotein Particles,0.79 (0.72-0.86),5.67e-08,0.305278507929951,mmol/L,Phospholipids,Composite,VLDL_PL + IDL_PL + LDL_PL + HDL_PL
VLDL_PL,Phospholipids in VLDL,0.98 (0.91-1.06),0.650686458,0.315334911158382,mmol/L,Phospholipids,Composite,XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL
LDL_PL,Phospholipids in LDL,0.75 (0.69-0.81),6.68e-12,0.345479585564323,mmol/L,Phospholipids,Composite,L_LDL_PL + M_LDL_PL + S_LDL_PL
HDL_PL,Phospholipids in HDL,0.87 (0.79-0.95),0.002765731,0.298957718973426,mmol/L,Phospholipids,Composite,XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL
Total_CE,Total Esterified Cholesterol,0.71 (0.65-0.77),4.06e-16,0.322850951301322,mmol/L,Cholesteryl esters,Composite,VLDL_CE + IDL_CE + LDL_CE + HDL_CE
